,Artist,Song,lyrics
0,Mbo Mentho,Sea Mist,-1
1,lafur Arnalds,Doria,-1
2,Karin Borg,Kebnekajse,-1
3,Novo Talos,Longevity,-1
4,Oneke,Rays of Hope,-1
5,Johannes Bornlof,Nocturnal Waltz,-1
6,Matt Stewart-Evans,Waltz for Dreamers,-1
7,Paddy Mulcahy,Waltz Sketch,-1
8,Philip Glass;Martin Jacoby,Opening,Instrumental
9,Gabriel Parker,Fractions,-1
10,Gavin Luke,Delicate Transitions,-1
11,Joep Beving,Midwayer,-1
12,Mike Lazarev,Unhinged,-1
13,Lo Mimieux,Nightingale,-1
14,Angus MacRae,Mirror Lake,-1
15,Oskar Schuster,Vleurgat,-1
16,Peter Sandberg,Remove The Complexities,-1
17,Heinali,Scarf,-1
18,Elba,And Along Came the Rain,-1
19,Sophie Hutchings,Grace II,-1
20,Gabriel Parker,Phase One,-1
21,Tonie Green,Away,-1
22,Leo Finka,Sentimental,-1
23,Alex Kozobolis,If You Came Here To Live (in memory of Mary Skinner),-1
24,Heinali,"Sway, Sway",-1
25,Benny Treskow,Sunday Stroll,-1
26,Gabriel Parker,Intervention,-1
27,Stray Ghost,Two steps too often aside (Early Variation I),-1
28,Anna Rose Carter,A Mirror Sitting,-1
29,Mlanie Laurent,Fin,-1
30,Mia Strass,Troll,-1
31,Peter Sandberg,Synesthesia,-1
32,Johannes Bornlof,Serene,-1
33,Lo Mimieux,Berceuse,-1
34,Anna Rose Carter,Unstitch,-1
35,Dylan Francis,Equal,-1
36,Mia Strass,Warm Darkness,-1
37,Matt Stewart-Evans,Music Box,-1
38,Elba,The Last Hour of Loneliness,-1
39,Saga Rosen,Wings,-1
40,Milo Stavos,A New Day,-1
41,Once Proven,Contemplating No Thing,-1
42,Ari Naman,Becoming Aware,-1
43,Agatha Reilly,Fantasazing,-1
44,Martin Skoog,Waves From a Distance,-1
45,Allysa Nelson,The Carousel,-1
46,Pernilla Mayer,Free From Boundaries,-1
47,Jeff Bright Jr,A Sky Full of Flowers,-1
48,Hilda Atkins,Spanish Evening,-1
49,Mike Lazarev,Reprise,-1
