,Unnamed: 0,Artist,Song,lyrics
0,0,Charlie Cunningham,Minimum,"How do I walk this earth
So much work at first it goes
How should I walk this earth
So much worse the further, the further you go

Go take off a load
Letting your wings unfold and keeping everything down to a minimum
Everything a bit low
Tell 'em what you know
Not all that you know though
The truth be told you need it more than you thought but you're managing
That's how you evened out, out

Keep on walking that line, the fine line
Between the wrong and the right
You get yours I'm gonna get mine
Is that what you signed for
They're feeding you lines to keep you on their side
It works every time

What you got to live for now you got the whole of the world at your feet?
And how much more can you pass yourself round?
What you got to live for now you got the whole of the world at your feet?
But you're still shaking
You need to make up some ground

Go take off a load
Letting your wings unfold and keeping everything down to a minimum
Everything a bit low
Tell 'em what you know
Not all that you know though
The truth be told you need it more than you thought but you're managing
That's how you evened out, out"
3,3,The Paper Kites,Bloom - Bonus Track,"In the morning when I wake
And the sun is coming through
Oh, you fill my lungs with sweetness
And you fill my head with you

Shall I write it in a letter?
Shall I try to get it down?
Oh, you fill my head with pieces
Of a song I can't get out

Can I be close to you?
Ooh-ooh-ooh-ooh, ooh
Can I be close to you?
Ooh, ooh

Can I take it to a morning
Where the fields are painted gold
And the trees are filled with memories
Of the feelings never told?

When the evening pulls the sun down
And the day is almost through
Oh, the whole world it is sleeping
But my world is you

Can I be close to you?
(Ah) ooh (ah), ooh (ah)
Can I be close to you?
(Ah) ooh (ah), ooh (ah)

Can I be close to you?
(Ah) ooh (ah), ooh (ah)
Can I be close to you?
(Ah) ooh (ah), ooh (ah)

Can I be close to you?
Ooh, ooh"
4,4,Tall Heights,Spirit Cold,"How do I wake my spirit cold?
We always say when our history's told
If only we knew the things we know
There's a question ages old

Let me down easy, let me down slow
If all good things ever come and go
Let me back down in a place I know
Hold the nail for the hammer stroke

Oh this my trash, this my tome
Oh this my blood, this my bone

How do I learn my dreams to mold,
To lay them bare in the morning cold?
If they're still out there then the chasm grows
For all you know, for all you've known

Let me down easy, let me down slow
If all good things ever come and go
Let me back down in a place I know
Hold that nail for the hammer stroke

Oh this my weapon, this my loam
Oh this my blood, this my bone

How do I wake my spirit cold?
Most people die but others just go
She's still out there and the chasm grows
Steady are the feet in the morning glow

Oh this my trash, this my tome
Oh this my weapon, this my loam
Oh this my mountain, this is my home

How do I wake my spirit cold?
There's a question ages old"
7,7,The Lumineers,Angela (Single Version),"When you left this town with your windows down
And the wilderness inside
Let the exits pass, all the tar and glass
Till the road and sky align

The strangers in this town
They raise you up just to cut you down
Oh Angela, it's a long time coming

And your Volvo lights lit up green and white
With the cities on the signs
But you held your course to some distant war
In the corners of your mind

And from the second time around
The only love I ever found
Oh Angela, it's a long time coming

Home at last

Were you safe and warm in your coat of arms
With your fingers in a fist
Did you hear the notes, all those static codes
In the radio abyss?

The strangers in this town
They raise you up just to cut you down
Oh Angela, it's a long time coming
Oh Angela, spent your whole life running away

Home at last
Home at last

Vacancy, hotel room
Lost in me, lost in you
Angela, on my knees
I belong, I believe

Home at last
Home at last
Home at last
Home at last

Home at last
Mmm"
8,8,Vance Joy,Lay It On Me,"I'm so gone
Anyone could see that I'm wasted
You cut through
And I just wanna know what's in your head

Write it on a piece of paper, honey
Put it in my coat before I go
Hidden in a place you know I'll find it
Later when I'm sitting all alone

Let me in
Everything starts at your skin, so new
Your love's always finding me out
Who am I kidding?
If all my defenses come down, oh baby
Will you lay it all on me now?
Lay it all on me now
Lay it all on me now
Lay it all on me now

Snow comes down, everything is new and different
I found you hidden in plain sight, why'd I take so long?

Write it on a piece of paper, honey
Put it in my coat before I go

Let me in
Everything starts at your skin, so new
Your love's always finding me out
Who am I kidding?
If all my defenses come down, oh baby
Will you lay it all on me now?
Lay it all on me now
Lay it all on me now
Lay it all on me now
Lay it all on me now

Your love's always finding me out
Who am I kidding?
If all my defenses come down, oh baby
Will you lay it all on me now?
Lay it all on me now
Lay it all on me now
Lay it all on me now
Lay it all on me now"
10,10,Lord Huron,The Night We Met,"I am not the only traveler
Who has not repaid his debt
I've been searching for a trail to follow again
Take me back to the night we met
And then I can tell myself
What the hell I'm supposed to do
And then I can tell myself
Not to ride along with you

I had all and then most of you
Some and now none of you
Take me back to the night we met

I don't know what I'm supposed to do
Haunted by the ghost of you
Take me back to the night we met
When the night was full of terrors
And your eyes were filled with tears
When you had not touched me yet
Take me back to the night we met

I had all and then most of you
Some and now none of you
Take me back to the night we met
I don't know what I'm supposed to do
Haunted by the ghost of you
Take me back to the night we met"
16,16,Leon Bridges,River,"Been travelling these wide roads for so long
My heart's been far from you
10, 000 Miles gone

Oh, I wanna come near and give you
Every part of me
But there is blood on my hands
And my lips are unclean

In my darkness I remember
Momma's word reoccur to me:
""Surrender to the good lord
And he'll wipe your slate clean""

Take me to your river
I wanna go
Take me to your river
I wanna know

Dip me in your smooth water
I go in
As a man with many crimes
Come up for air
As my sins flow down the jordan

I wanna go wanna go wanna go
I wanna know wanna know wanna know
Wanna go wanna go wanna go
Wanna know wanna know wanna know
Wanna go wanna go wanna go
Wanna know wanna know wanna know

Take me to your river
I wanna go
Lord please let me know
Take me to your river
I wanna know"
17,17,Bon Iver,Holocene,"""Someway, baby, it's part of me, apart from me""
You're laying waste to Halloween
You fucked it friend, it's on it's head, it struck the street
You're in Milwaukee, off your feet

And at once I knew I was not magnificent
Strayed above the highway aisle
Jagged vacance, thick with ice
For I could see for miles, miles, miles

3rd and Lake it burnt away, the hallway
Was where we learned to celebrate
The automatic bought the years you'd talk for me
That night you played me âLit Paradeâ
Not the needle, nor the thread, the lost decree
Saying nothing, that's enough for me

And at once I knew I was not magnificent
Hulled far from the highway aisle
Jagged vacance, thick with ice
For I could see for miles, miles, miles

Christmas night, it clutched the light
The hallow bright
Above my brother, I and tangled spines
We smoked the screen to make it what it was to be
Now to know it in my memory

And at once I knew I was not magnificent
High above the highway aisle
Jagged vacance, thick with ice
For I could see for miles, miles, miles"
19,19,The Staves,Steady,"Steady, steady, steady
You steady touch our love so much, I'm sleepless
Oh God, oh God, oh God
God, I'm only human and I'm helpless
Steady, steady, steady
You steady touch our love so much, I'm sleepless
Rabbit in a snare, why you sleeping softly in your bed?
When unruly wild blood is pumping, why you running scared?
Why you running scared?
Rabbit in a snare, why you sleeping softly in your bed?
Why you running scared?
Steady, steady, steady
You steady touch our love so much, I'm sleepless
Oh God, oh God, oh God
God I'm only human and I'm helpless
And the line will read that I was never here
(Can you see from where you're standing?)
And the line will read that I was never here
(Can you hear where I'm coming from?)
And the line will read that I was never here
(Can you see from where you're standing?)
And the line will read that I was never here
(Can you hear where I'm coming from?)
Steady, steady, steady
You steady touch our love so much, I'm sleepless
Oh God, oh God, oh God
God I'm only human and I'm helpless"
20,20,Tall Heights,Horse to Water,"The night sky had broken, the new year had spoken
I was beside myself, I stood out in the cold
In an empty parking lot, my breath was streaming hot
I willed the car to start to bring me home to you

Lead me back from the darkness like you do

Before I knew you, I lived in the rearview
To wish back an image of myself I thought was true
So now when colors fade and on that day of days
I needed you to say it wasn't one to rue

Oh and lead me back from the darkness like you do

Headlights and cold rain distorting the dark panes
Wipers clicking and my thoughts they followed suit
I felt like Willy Loman, the mighty plans I'd spoken
Guess they were illusions of a man who dreamed too big

But I remember you dancing in autumn when we met
You won't believe I saw it then so many years ago
There was something about you I struggled to forget
My blood was rushing down to you

You were leadin' me back from the darkness like you do
Leadin' me back from the darkness like you do
Leadin' me back from the darkness like you do
Leadin' me back from the darkness like you do
Leading me back like a horse to water knowing I'd refuse
'Cause you're a wanderer too"
22,22,Fleet Foxes,"If You Need To, Keep Time On Me","How could it all fall in one day?
Were we too sure of the sun?
Â 
If you need to, keep time on me
If you need to, keep time on me
Â 
Who knows what State is in store?
If they all turn, will you run?
Â 
If you need to, keep time on me
If you need to, keep time on me
Â 
When I need to, I'll keep time on you

Wide oceans roar
A frightened fool stokes heatless fire
Â 
But if you need to, keep time on me
If you need to, keep time on me
Â 
How could it all fall in one day?
Were we too sure of the sun
Â 
If you need to, keep time on me
If you need to, keep time on me"
24,24,Villagers,Nothing Arrived - Live from Spotify London,"Savanna scatters and the seabird sings
So why should we fear what travel brings?
What were we hoping to get out of this?
Some kind of momentary bliss?

I waited for something, but something died
So I waited for nothing, and nothing arrived

It's our dearest ally, it's our closest friend
It's our darkest blackout, it's our final end
My dear sweet nothing, let's start anew
From here on in, it's just me and you

I waited for something, but something died
So I waited for nothing, and nothing arrived

Well I guess it's over, I guess it's begun
It's a losers' table, but we've already won
It's a funny battle, it's a constant game
I guess I was busy, when nothing came

I guess I was busy (when nothing arrived)
I guess I was busy (when nothing arrived)
I guess I was busy (when nothing arrived)
I guess I was busy

I waited for something, but something died
So I waited for nothing, and nothing arrived
I waited for something, but something died
So I waited for nothing, and nothing arrived"
