,Artist,Song,lyrics
0,Stevie Wonder,"Signed, Sealed, Delivered (I'm Yours)",-1
1,The Jackson 5,I Want You Back,"Let me tell you now

When I had you to myself
I didn't want you around
Those pretty faces always made you
Stand out in a crowd

But someone picked you from the bunch
One glance was all it took
Now it's much too late for me
To take a second look

Oh baby, give me one more chance
(To show you that I love you)
Won't you please let me
Back in your heart

Oh darling, I was blind to let you go
(Let you go, baby)
But now since I see you in his arms
(I want you back)

Yes I do now (I want you back)
Ooh, ooh baby (I want you back)
Yeah, yeah, yeah, yeah (I want you back)
Na na na na

Trying to live without your love
Is one long sleepless night
Let me show you, girl
That I know wrong from right

Every street you walk on
I leave tear stains on the ground
Following the girl
I didn't even want around
Let me tell you now

Oh baby, all I need is one more chance
(To show you that I love you)
Won't you please let me
Back in your heart

Oh darlin', I was blind to let you go
(Let you go baby)
But now since I see you in his arms, uh huh

A buh buh buh buh
A buh buh buh buh
All I want
A buh buh buh buh
All I need
A buh buh buh buh
All I want
A buh buh buh buh
All I need

Oh, just one more chance
To show you that I love you
Baby (baby), baby (baby), baby (baby)

(I want you back)
Forget what happened then
And let me live again

Oh baby, I was blind to let you go
But now since I see you in his arms
(I want you back)
Spare me of this cause
Gimme back what I lost

Oh baby, I need one more chance, ha
I tell ya that I love you
Baby, ow, baby, baby
I want you back
I want you back"
2,Natalie Cole,This Will Be (An Everlasting Love) - 2003 Digital Remaster,-1
3,Otis Redding,Stand By Me,"When the night has come
And the land is dark
And the moon is the only light we'll see
No I won't be afraid, no I won't be afraid
Just as long as you stand, stand by me

And darlin', darlin', stand by me, oh now now stand by me
Stand by me, stand by me

If the sky that we look upon
Should tumble and fall
And the mountains should crumble to the sea
I won't cry, I won't cry, no I won't shed a tear
Just as long as you stand, stand by me

And darlin', darlin', stand by me, oh stand by me
Stand by me, stand by me, stand by me-e, yeah

Whenever you're in trouble won't you stand by me, oh now now stand by me
Oh stand by me, stand by me, stand by me

Darlin', darlin', stand by me-e, stand by me
Oh stand by me, stand by me, stand by me"
4,The Supremes,You Can't Hurry Love,"I need love, love
To ease my mind
I need to find, find someone to call mine
But mama said

You can't hurry love
No, you just have to wait
She said love don't come easy
It's a game of give and take

You can't hurry love
No, you just have to wait
You got to trust, give it time
No matter how long it takes

But how many heartaches
Must I stand before I find a love
To let me live again
Right now the only thing
That keeps me hangin' on
When I feel my strength, yeah
It's almost gone
I remember mama said:

You can't hurry love
No, you just have to wait
She said love don't come easy
It's a game of give and take

How long must I wait
How much more can I take
Before loneliness will cause my heart
Heart to break?

No I can't bear to live my life alone
I grow impatient for a love to call my own
But when I feel that I, I can't go on
These precious words keeps me hangin' on
I remember mama said:

You can't hurry love
No, you just have to wait
She said love don't come easy
It's a game of give and take

You can't hurry love
No, you just have to wait
She said trust, give it time
No matter how long it takes

No, love, love don't come easy
But I keep on waiting
Anticipating for that soft voice
To talk to me at night
For some tender arms
To hold me tight
I keep waiting
I keep on waiting
But it ain't easy
It ain't easy
But mama said:

You can't hurry love
No, you just have to wait
She said to trust, give it time
No matter how long it takes

You can't hurry love
No, you just have to wait
She said love don't come easy
It's a game of give and take
(repeat and fade)"
5,Marvin Gaye;Tammi Terrell,Ain't No Mountain High Enough - Stereo Version,-1
6,Stevie Wonder,For Once In My Life,"For once in my life
I have someone who needs me
Someone I've needed so long
For once unafraid
I can go where life leads me
Somehow I know I'll be strong

For once I can touch
What my heart used to dream of
Long before I knew
Oh, someone warm like you
Would make my dream come true, yeah, yeah, yeah (for once in my life)

For once in my life
I won't let sorrow hurt me
Not like it's hurt me before (not like it's hurt before)
For once I have something
I know won't desert me
I'm not alone anymore (I'm not alone anymore)

For once I can say
This is mine, you can't take it
As long as I know I have love I can make it
For once in my life
I have someone who needs me
(Someone who needs me) A-heh, heh, hey yeah
(Someone who needs me) Oh, I'm in love baby

(For once in my life)

For once in my life (for once in my life)
I won't let sorrow hurt me
Not like it's hurt me before (not like it's hurt before)
For once I have something
I know won't desert me
I'm not alone anymore (I'm not alone anymore)

For once I can say
This is mine, you can't take it
Long as I know I have love I can make it
For once in my life
I have someone who needs me
(Someone who needs me) Whoa, for once in my life
(Someone who needs me) Hey, somebody that needs me
(Someone who needs me) Ooh baby, for once in my life"
7,Aretha Franklin,Respect - Remastered,-1
8,The Temptations,My Girl,"I've got sunshine
On a cloudy day
When it's cold outside
I've got the month of May

I guess you'd say
What can make me feel this way?
My girl, my girl, my girl
Talkin' 'bout my girl
My girl

I've got so much honey
The bees envy me
I've got a sweeter song
Than the birds in the trees

Well, I guess you'd say
What can make me feel this way?
My girl, my girl, my girl
Talkin' 'bout my girl
My girl
Ooo-ooo, hoo-ooo

Hey, hey, hey
Hey, hey, hey
Ooh yeah

I don't need no money
Fortune or fame
I got all the riches, baby
One man can claim

Well, I guess you'd say
What can make me feel this way?
My girl, my girl, my girl
Talkin' 'bout my girl
My girl

(Talkin' 'bout my girl)
I got sunshine on a cloudy day with my girl
I've even got the month of May with my girl
(Talkin' 'bout my girl)
Talkin' bout, talkin' 'bout, talkin' 'bout my girl"
9,Marvin Gaye,Got To Give It Up (Part 1),"I used to go out to parties and stand around
'Cause I was too nervous to really get down
But my body yearned to be free
I got up on the floor and thought somebody could choose me

No more standing there beside the walls
Finally got myself together, baby, and I'm havin' a ball
As long as you're groovin', there's always a chance
Somebody watchin' might wanna make romance

Move your body, ooh baby, you dance all night
To the groove and feel alright
Everybody's groovin' on like a fool
But if you see me, spread out and let me in

Baby, just party high and low
Let me step into your erotic zone
Move it up, turn it 'round
Ooh, shake it down, ow

You can love me when you want to, babe
This is such a groovy party, baby
We're here face to face
Everybody's swingin'
This is such a groovy place
All the young ladies are so fine

You're movin' your body
Easy with no doubts
I know what you thinkin', baby
You wanna turn me out
I think I'm gonna let you do it, babe

Keep on dancin'
You got to get it
Got to give it up

If you want it, you've got to give it up
If you want it, you've got to give it up
If you want it, you've got to give it up
If you want it, you've got to give it up"
