,Artist,Song,lyrics
0,Kygo;Justin Jesso,Stargazing,-1
1,Illenium;Nevve,Fractures (feat. Nevve),-1
2,Son Of 8;Phats & Small,With Every Heartbeat,-1
3,N.E.R.D;Rihanna,Lemon,"The truth will set you free
But first, it'll piss you off

Hate! Bad bitches wanna be my bae
Hate! Hunt me down like the C.I.A
Hate! Side of my car, tryna see my face
Hate! Want me to beat it like the T.I. case
Oh (hate!) and if it's heated I'ma feed my face
Hate! And best believe, it's gon' be outrageous
Hate! Hatin' niggas can't believe my race
Hate! Niggas hit you with the Eli face, oh

Bouncin' around, bouncin' around, bouncin'
Bouncin' around, bouncin' around, bouncin'
Scrunchin' their eyes with your name in their mouth and
Bouncin' around, bouncin' around, bouncin'

Hate! You keep askin' me where I'm from
Hate! About the borders and, ""Did I run?""
Hate! Keep askin' how I feel 'bout guns
Hate! There's a light and dark army, which side you choose? Oh
Hate! If not now then when?
Hate! And if not me then who?
Hate! Don't drink the Kool-Aid, my friends
Hate! I tried to tell y'all about this dude

Bouncin' around, bouncin' around, bouncin'
Bouncin' around, bouncin' around, bouncin'
Hate supplements are found right in their couches
Bouncin' around, bouncin' around, bouncin'

Wait, wait a minute
Shout out to them people, people
Wait, wait a minute
P-p-p-people, people
Wait, wait a minute
Mad ethnic right now

I get it how I live it
I live it how I get
Count the motherfuckin' digits
I pull up with a lemon
Not 'cause she ain't livin'
It's just your eyes get acidic
And this here ain't a scrimmage
Motherfucker, we ain't finished
I told you we won't stop
A nigga 'bouta business
Like yours, but you rent it
Wave hello to the top
Nigga the Veyron glide
Tell the paparazzi get the lens right
Got the window down, top, blowin' la
Got the hazards on, only doin' five
You can catch me, Rih, in the new La Ferrar'

And the truck behind me got arms
Yeah, longer than LeBron
Just waitin' for my thumb like The Fonz
Woo! This beat tastes like lunch
But it's runnin' from veneers and it's runnin' from the fronts
But everyday, hey, wasn't lemonade
I was afraid, once a nigga graduate
Would I be okay?
So I prayed and I played
It's Rihanna, nigga
My constellation in space
Warp speed, Doctor Spock couldn't chase, nigga

Nigga, bath salt, bitin' speakers in the face
Bath salt, bitin' speakers in the face
Bath, bath salt, bitin' speakers in the face
Bath, bath salt, bitin' speakers in the face
Bath, bath salt, bitin' speakers in the face
Bath, bath salt, bitin' speakers in the face
Bath, bath salt, bitin' speakers in the face
Bath, bath salt, bitin' speakers in the face
Bath, bath salt, bitin' speakers in the face

I get it how I live it
I live it how I get
Count the motherfuckin' digits
I pull up with a lemon
Not 'cause she ain't livin'
It's just your eyes get acidic
And this here ain't a scrimmage
Motherfucker, we ain't finished
I told you we won't stop
A nigga 'bouta business
Like yours, but you rent it
Wave hello to the top
Nigga the Veyron glide
Tell the paparazzi get the lens right
Got the window down, top, blowin' la
Got the hazards on, only doin' five
You can catch me...

Bouncin' around, bouncin' around, bouncin'

You can catch me
Wait, wait a minute
Wait, wait a minute
Wait, wait a minute
Wait, wait a minute
Wait, wait a minute
Wait, wait a minute
Wait, wait a minute
Wait, wait a minute"
4,Brooklnn,Brandy,-1
5,Snoop Dogg;Wiz Khalifa;Bruno Mars,Young Wild & Free (feat. Bruno Mars) - feat. Bruno Mars,-1
6,Alan Walker,The Spectre,"Hello, hello
Can you hear me, as I scream your name
Hello, hello
Do you meet me, before I fade away

Is this the place that I call home
To find what I've become
Walk along the path unknown
We live, we love, we lie

Deep in the dark I don't need the light
There's a ghost inside me
It all belongs to the other side
We live, we love, we lie

(We live, we love, we lie)

Hello, hello
Nice to meet your, voice inside my head
Hello, hello
I believe you
How can I forget

Is this the place that I call home
To find what I've become
Walk along the path unknown
We live, we love, we lie

Deep in the dark I don't need the light
There's a ghost inside me
It all belongs to the other side
We live, we love, we lie

(We live, we love, we lie)

We live, we love, we lie"
7,David Guetta;Afrojack;Charli XCX;French Montana,Dirty Sexy Money (feat. Charli XCX & French Montana),-1
8,Martin Solveig;ALMA,All Stars,"Turn on
We all stars, we are one
We light up the night like a black sun
We all shine, we are chrome
And we are shimmering
Turn on, turn on (turn on)

Play it loud, we don't care
And dance like there's nobody there
Light up the night, yeah
Light it up every night
'Cause we are shimmering
Turn on, turn on (turn on)

We all stars, we are one
We light up the night like a black sun
We all shine, we are chrome
And we are shimmering
Come on, come on y'all

Hey

We all stars, we are one
We light up the night like a black sun
We all shine, we are chrome
And we are shimmering
Turn on, turn on (turn on)

We got something to tell
Spin like a carousel
Don't like it, go to hell
This is our favorite song
Lights on everybody
We party legendary
High on sour and fury (hey)

Turn on now
Calling all stars, come on
Calling all stars, come on
Calling all stars, come on
Calling all stars, come on

Hey
Hey

We all stars, we are one
Calling all stars (stars)
Calling all stars, come on
We all shine, we are chrome
And we are shimmering
Turn on, turn on (turn on)

Calling all stars, come on"
9,Avicii;Billy Raffoul,You Be Love (feat. Billy Raffoul),-1
