,Artist,Song,lyrics
0,Savon;Melat,Float (feat. Mélat),-1
1,Ian Ewing;Virginia Palms,Swell,-1
2,S. Fidelity,Freshmen,-1
3,Iman Omari,Kama Sutra,-1
4,Mac Ayres,Slow Down,-1
5,Daniel Caesar;Kali Uchis,Get You (feat. Kali Uchis),"Through drought and famine, natural disasters
My baby has been around for me
Kingdoms have fallen, angels be calling
None of that could ever make me leave
Every time I look into your eyes I see it
You're all I need
Every time I get a bit inside I feel it

Ooh, who would've thought I'd get you
Ooh, who would've thought I'd get you

And when we're making love
Your cries they can be heard from far and wide
It's only the two of us
Everything I need's between those thighs
Every time I look into your eyes I see it
You're all I need
Every time I get a bit inside I feel it

Ooh, who would've thought I'd get you
Ooh, who would've thought I'd get you

And I'll take some time
Just to be thankful
That I had days full of you, you
Before it winds down into
The memories, It's all just memories

(If you've got someone you like...)
Don't you love when I come around
(...Feel something that's right somebody just tell somebody)
Build you up then I take you down
(If you've got someone you like...)
Don't you love when I come around
(...Feel something that's right somebody just tell somebody)
Build you up then I take...

Ooh, who would've thought I'd get you
Ooh, who would've thought I'd get you

This feels like summer
Boy you make me feel so alive
Just be my lover
Boy you'll lead me to paradise"
6,simon eng;Engelwood;Melanie Rosé,don't wanna wake up (feat. melanie rosé),-1
7,Dream Koala,Souvenirs,-1
8,Brent Faiyaz,Lovely,-1
9,JMSN,The One,-1
10,AKAY;Ayelle,Lights Out,-1
11,Strehlow;Dehku,Middle of Nowhere,-1
12,CoryaYo,ascension,-1
13,July 7,Talk To Me,-1
14,Savon,Need,-1
15,June Marieezy,Fly,"Fly, in the song you sing
Why you waitin'
Be the light

My three sixty degree reality
Sunset beach I don't need HD TV
I want the real thing
Living off a dream
Gimmie couple thousands I'mma jet to Philippines
My three sixty degree ability
Visioneer lose the fear let there be reason
Give circulation to the nation we are one
Everything is fun under the sun
I just tell myself to fly

Fly, in the sun you'll breath
Fly, you do not need me
Fly, in the song you sing
Why you waitin'
Be the light

My three sixty dollars on the shelf
What's my wealth
I'm the best at bein' myself
I can tell you American dreams
Nice thing from the shop
But I really think that Asia's 'bout to pop
My three sixty five days on the wall
Live each day like my last
Green like paper over plastic
Wrap my head around the whole world is a blast
If ya open up to magic
I just wanna tell you fly

Fly, in the sun you breath
Fly, you do not need me to
Fly, in the song you sing
Why you waitin'
Be the light

I will, I will rise with the tribe
I can feel your vibe from the other side (x2)
_"
16,GEO,For You,-1
17,Daniel Caesar;H.E.R.,Best Part (feat. H.E.R.),"Oh, hey
You don't know babe
When you hold me
And kiss me slowly
It's the sweetest thing
And it don't change
If I had it my way
You would know that you are
 
You're the coffee that I need in the morning
You're my sunshine in the rain when it's pouring
Won't you give yourself to me
Give it all, oh
 
I just wanna see
I just wanna see how beautiful you are
You know that I see it
I know you're a star
Where you go I follow
No matter how far
If life is a movie
Oh, you're the best part, oh
You're the best part, oh
Best part
 
It's the sunrise
And those brown eyes, yes
You're the one that I desire
When we wake up
And then we make love
It makes me feel so nice
 
You're my water when I'm stuck in the desert
You're the Tylenol I take when my head hurts
You're the sunshine on my life
 
I just wanna see how beautiful you are
You know that I see it
I know you're a star
Where you go I follow
No matter how far
If life is a movie
Then you're the best part, oh
You're the best part, oh
Best part
 
If you love me won't you say something
If you love me won't you
Won't you
If you love me won't you say something
If you love me won't you
Love me, won't you
If you love me won't you say something
If you love me won't you
If you love me won't you say something
If you love me won't you
Love me, won't you
If you love me won't you say something
If you love me won't you
If you love me won't you say something
If you love me won't you
Love me, won't you"
18,Bruno Major,Easily,"Don't cha tell me that it wasn't meant to be.
Call it quits or call it Destiny.
Just because it won't come,
Easily
Dosn't mean we shoudn't try.
We had a good thing goin' baby,
Might not've always been a farytale.
But you know
And I know that
They
Ain't
Real
I'll take the truth over the story.
You might have tried my patients greatly,
But I'm not about to let us fail
I'll be the wind picking up your sail.
But won't cha do somethin' for me?
Don't you tell me that it wasn't meant to be.
Call it quits or call it Destiny.
Just because it won't come
Easily
Dosn't mean we shoudn't try.
Comin' and goin',
Inside out
And back to front.
All tangled and messy.
And that's how
We'll feel and will
Al-ways
Be.
That's alright with me.
Don't you tell me that it wasn't meant to be.
Call it quits or call it Destiny.
And just because it won't come
Easily
Dosn't mean we shoudn't try...
Try
Try
Just because it won't come, Easily.
Dosn't mean we shouldn't try.

Just because it won't come, Easily.
Dosn't mean we shouldn't try...
Try
Try
Just because it won't come, Easily.
Dosn't mean we shouldn't try."
19,Of Methodist,Authority,-1
20,Decap;Gyrefunk,Spazzn,-1
21,Ian Ewing,Two Avocados and a Microphone,-1
22,Mangal,Where They're Found (For Jonathan),-1
23,B-Side,Choices,-1
24,Sango;Xavier Omär,Middle of Things Beautiful Wife (feat. Xavier Omär)),-1
25,ESTA.,Aoyama,-1
26,Flores,Afterglow,-1
27,Alextbh;Sam Rui,You,-1
28,Abhi//Dijon,Often,-1
29,Fallen Roses;B dom,Yours and Nobody Else's,-1
30,SZA;Travis Scott,Love Galore,-1
31,Smino,Wild Irish Roses,-1
