,Artist,Song,lyrics
0,Ok2222,Take Me for My Words,-1
1,Different Sleep,Slow Things Down,-1
2,A D M B;Sophie Meiers,Take It Back (feat. Sophie Meiers),-1
3,Brent Faiyaz,Gang Over Luv,-1
4,Khalid,Saved,"1, 2, 3, 4

The hard part always seems to last forever
Sometimes I forget that we aren't together
Deep down in my heart, I hope you're doing all right
But from time to time I often think of why you aren't mine

But I'll keep your number saved
'Cause I hope one day you'll get the sense to call me
I'm hoping that you'll say
You're missing me the way I'm missing you
So I'll keep your number saved
'Cause I hope one day I'll get the pride to call you
To tell you that no one else
Is gonna hold you down the way that I do

Now, I can't say I'll be all right without you
And I can't say that I haven't tried to
But, all your stuff is gone
I erased all the pictures from my phone
Of me and you
Heres what I'll do

I'll keep your number saved
'Cause I hope one day you'll get the sense to call me
I'm hoping that you'll say
You're missing me the way I'm missing you
So I'll keep your number saved
'Cause I hope one day I'll get the pride to call you
To tell you that no one else
Is gonna hold you down the way that I do

I hope you think of all the times we shared
I hope you'll finally realize I was the only one who cared
It's crazy how this love thing seems unfair
You won't find a love like mine anywhere

But I'll keep your number saved
'Cause I hope one day you'll get the sense to call me
I'm hoping that you'll say
You're missing me the way I'm missing you
So I'll keep your number saved
'Cause I hope one day I'll get the pride to call you
To tell you that no one else
Is gonna hold you down the way that I do
But I'll keep your number saved
'Cause I hope one day you'll get the sense to call me
I'm hoping that you'll say
You're missing me the way I'm missing you
So I'll keep your number saved
'Cause I hope one day I'll get the pride to call you
To tell you that I'm finally over you
I'm finally over you"
5,FKJ,Better Give U Up,-1
6,Miquela,Not Mine,-1
7,Snoh Aalegra;Logic,Sometimes,-1
8,S. Fidelity;Tesla,Make It,-1
9,[bsd.u],B5 [untitled] but i loved you,-1
10,wuudlum,i dont luv u anymore,-1
11,Ben Beal;Sophie Meiers,Off/On,-1
12,Nohidea,love (left),-1
13,Allem Iversom,Without You,-1
14,Khalid,Coaster,"As time passes, I feel so low
Searchin' for pieces, covering up the holes
I'll fight for your love, I'll fight for your soul
I'll throw all of my cares away for you
I'll be there to wait for you
Maybe you weren't the one for me
But deep down I wanted you to be
I'll still see you in my dreams
All the things that I did for you, just wasn't it for you

So I'll be coasting, roller-coasting
Through my emotion
I will be coasting, roller-coasting
I'm hoping that you'll come back to me

Moving on seems harder to do
When the one that you love moves faster than you
I gave you my all, I showed the proof of your lies
And you weren't worth it, you don't deserve me
As time passes I'm feeling high
You're not the one I'm thinking of tonight
I may not be over you, but I'll try inside
I'm feeling better now, finally feeling special now, oh

Coasting, roller-coasting
In my emotions, oh
I'll be coasting, roller-coasting
I noticed you weren't the one for me

You weren't the one for me
You weren't the one for me
You weren't the one for me
You weren't the one for me
Weren't the one for me
You weren't the one
You weren't the one for me
So don't come back to me, no
No, don't come back to me, no
No, don't come back to me
No, don't come back to me, no
No, don't come back to me
You weren't the one for me
You weren't the one for me
You weren't the one for me
You weren't the one for me"
15,Chris McClenney,I Ain't,-1
16,Ryan Egan,Tongue of Yours,-1
17,Sinead Harnett;GRADES,If You Let Me,-1
