Artist,Song
Charlie Cunningham,Minimum
James Bay,If You Ever Wanna Be In Love - James Bay Spotify Session 2015
Harrison Storm,Change It All
The Paper Kites,Bloom - Bonus Track
Tall Heights,Spirit Cold
Isaac Gracie,Reverie
Molly Parden,Weather
The Lumineers,Angela (Single Version)
Vance Joy,Lay It On Me
Little May,Boardwalks - Remastered 2015/ Bonus Track
Lord Huron,The Night We Met
Mighty Oaks,The Great Unknown
Overcoats,Cherry Wine
SYML,Where's My Love - Radio Edit
Tash Sultana,Notion
Kaleo,All The Pretty Girls - Recorded at Spotify Studios NYC
Leon Bridges,River
Bon Iver,Holocene
Blanco White,Colder Heavens
The Staves,Steady
Tall Heights,Horse to Water
Dermot Kennedy,After Rain
Fleet Foxes,"If You Need To, Keep Time On Me"
Henry Jamison,Real Peach
Villagers,Nothing Arrived - Live from Spotify London
Sam Brookes,James
Fionn Regan,The Meetings of the Waters
José González,Stay Alive
Of Monsters and Men,Slow And Steady
Vance Joy,Georgia
Bibio,Petals
George Ogilvie,Foreign Hands
The Barr Brothers,Even The Darkness Has Arms
Mumford & Sons;Baaba Maal,There Will Be Time
Birdtalker,Heavy
Langhorne Slim;The Law,Changes
William Wild,Morning
Phoria,Melatonin (Unplugged)
Kina Grannis,The Fire
Lewis Capaldi,Bruises
James Bay,Need The Sun To Break
Ben Howard,Only Love
Dermot Kennedy,A closeness
Family of the Year,Hero
Iron & Wine,Call It Dreaming
Isbells,Dreamer
Gavin James,Nervous
Sons Of The East,Into The Sun - EP Version
Cobi,Don't You Cry For Me - Acoustic
George Ezra,Barcelona
Mumford & Sons,The Cave
A Blaze of Feather,Carousel
Angus & Julia Stone,Stay With Me - Live From Spotify Berlin
Lewis Watson,little light - acoustic version
Felix Riebl;Martha Wainwright,In Your Arms
Amber Maya,Dance on the Mountain (Alternate Mix)
Max Jury,Numb
Benjamin Francis Leftwich,Tilikum
Avec,Sailing Away
Lucy Spraggan,Fight for It
James Bay,Hold Back The River
Craig Cardiff,Dirty Old Town
James Vincent McMorrow,Higher Love
Damien Rice,Older Chests
Riley Pearce,Brave
Joshua Hyslop,The Spark - Bonus Track
Dustin Tebbutt,Bones
Lucy Rose,Shiver
Run River North,29 - Acoustic
,
Julia Sheer;Jon D,Little Talks
James Bay,If You Ever Wanna Be In Love - James Bay Spotify Session 2015
Angus & Julia Stone,Stay With Me - Live From Spotify Berlin
Labrinth,Jealous
Parson James,Stole the Show
Lotte Kestner,Halo
Birdy,The A Team - Live
Koda,Staying
Us The Duo,Better Together
Malin Kojola,Skinny Love
Thomas Daniel,Scared To Be Lonely - Acoustic
Caroline Pennell,Follow the Sun - Acoustic
Daniela Andrade & New Heights,Just Give Me a Reason
The Staves,I'm On Fire
Colin & Caroline,Let It Go
The Sweeplings,Chains
Thyra,Ho Hey - Acoustic version
Sara Farell,Somebody Else - Acoustic
The White Raven,Headlights
The Civil Wars,Billie Jean
Tore Bojsten,Girl at Coachella
Jasmine Thompson,Pompeii
Linn Brikell,Crazy - Acoustic
Sam Smith,Not In That Way
The Mayries,Waterfall - Acoustic
Frances,Say It Again - Acoustic
Chris Call,I Feel It Coming - Acoustic Version
Kurt Hugo Schneider;Sam Tsui;Madilyn Bailey;Alex G,Send My Love (To Your New Lover)
Daniela Andrade,Crazy in Love
Thyra,Ugly Heart
Mysha Didi,Crazy
Kacey Musgraves,Apologize (Acoustic Version)
Tracy Chapman,The Promise
gnash;Olivia O'Brien,"i hate u, i love u (feat. olivia o'brien)"
