,Artist,Song,lyrics
0,Julia Sheer;Jon D,Little Talks,-1
1,James Bay,If You Ever Wanna Be In Love - James Bay Spotify Session 2015,-1
2,Angus & Julia Stone,Stay With Me - Live From Spotify Berlin,-1
3,Labrinth,Jealous,"I'm jealous of the rain
That falls upon your skin
It's closer than my hands have been
I'm jealous of the rain

I'm jealous of the wind
That ripples through your clothes
It's closer than your shadow
I'm jealous of the wind

So I wished you the best of all this world could give
And I told you when you left me there's nothing to forgive
But I always thought you'd come back
Tell me all you found was heartbreak and misery
It's hard for me to say
I'm jealous of the way you're happy without me

I'm jealous of the nights
That I don't spend with you
I'm wondering who you lay next to
Oh I'm jealous of the nights

I'm jealous of the love,
Love that was in here
Gone for someone else to share
Oh I'm jealous of the love

So I wished you the best of all this world could give
And I told you when you left me there's nothing to forgive
But I always thought you'd come back
Tell me all you found was heartbreak and misery
It's hard for me to say
I'm jealous of the way you're happy without me

As I sink in the sand
Watch you slip through my hands
Oh, as I die here another day
'Cause all I do is cry behind the smile

I wished you the best of all this world could give
And I told you when you left me there's nothing to forgive
But I always thought you'd come back
Tell me all you found was heartbreak and misery
It's hard for me to say
I'm jealous of the way you're happy without me
It's hard for me to say
I'm jealous of the way you're happy without me"
4,Parson James,Stole the Show,-1
5,Lotte Kestner,Halo,"Remember those walls I built
Well, baby they're tumbling down
And they didn't even put up a fight
They didn't even make a sound

I found a way to let you in
But I never really had a doubt
Standing in the light of your halo
I got my angel now

It's like I've been awakened
Every rule I had you breakin'
It's the risk that I'm takin'
I ain't never gonna shut you out

Everywhere I'm looking now
I'm surrounded by your embrace
Baby I can see your halo
You know you're my saving grace

You're everything I need and more
It's written all over your face
Baby I can see your halo
Pray it won't fade away

I can see your halo halo

Hit me like a ray of sun
Burning through my darkest night
You're the only one that I want
And I'm addicted to your light

I swore I'd never fall again
But this don't even feel like falling
Gravity can't forget
To pull me back to the ground again
Feels like I've been awakened
Every rule I had you breakin'
The risk that I'm takin'
I'm never gonna shut you out

Everywhere I'm looking now
I'm surrounded by your embrace
Baby I can see your halo
You know you're my saving grace

You're everything I need and more
It's written all over your face
Baby I can feel your halo
Pray it won't fade away

Halo halo halo halo
I can feel your halo
I can see your halo
I can feel your halo
I can see your halo
Halo"
6,Birdy,The A Team - Live,-1
7,Koda,Staying,"As winter takes me now, of cold and clammy skin
A barren empty womb, as I am born again
It's pulling at my hair, and crawling all within
A gentle beating heart is swept away by sin

Falls off the edge, falls out young
Falls off the edge, falls off love

Falls off the edge, falls out young
Falls off the edge, falls off love
As dark comes the night
We all die young

That's enough the end
Comes undone
Falls off the edge, falls out young
Falls off the edge, falls off love
As dark comes the night
We all die young

The monster in your head, won't surface again
Be still my child, wash away the sin
And I as future king, walk off the edge
Hold me by my name, hold me till the end

That's enough, the end
Comes undone
Falls off the edge, falls out young
Falls off the edge, falls off love

That's enough, the end
Comes undone
Falls off the edge, falls out young
Falls off the edge, falls off love"
8,Us The Duo,Better Together,"There's no combination of words
I could put on the back of a postcard
The song that I can sing
But I can try for your heart
Our dreams, they're made out of real things
Like a shoebox of photographs
Of sepia tone loving
Love is the answer
At least, for most of the questions in my heart
Like, ""Why are we here?"" and ""Where do we go?""
And ""How come it's so hard?""
It's not always easy and sometimes life can be deceiving
I'll tell you one thing
It's always better when we're together

Mmm, it's always better when we're together
Yeah, we'll look at the stars when we're together
Well, it's always better when we're together
Yeah, it's always better when we're together

And all of these moments just may find their way
Into my dreams tonight
But I know that they'll be gone
When the morning light sings and brings new things
For tomorrow night, you'll see
That they'll be gone soon
So many things I have to do
But if all of the dreams might find a way
Into my day to day scene
I'll be under the impression
I was somewhere in-between
With only two, just me and you
Now, so many things we got to do
Or places we've got to be
We'll sleep beneath the mango tree now

Yeah, it's always better when we're together
Mmm, somewhere in-between together
Well, it's always better when we're together
Yeah, it's always better when we're together

I believe in memories
They look so, so pretty when I sleep
When I wake up, you look so pretty
Sleeping next to me

But there is not enough time
There is no, no song I could sing
And there is no combination of words I could say
But I will still tell you one thing
We're better together"
9,Malin Kojola,Skinny Love,-1
