Artist,Song
Stevie Wonder,"Signed, Sealed, Delivered (I'm Yours)"
The Jackson 5,I Want You Back
Natalie Cole,This Will Be (An Everlasting Love) - 2003 Digital Remaster
Otis Redding,Stand By Me
The Supremes,You Can't Hurry Love
Marvin Gaye;Tammi Terrell,Ain't No Mountain High Enough - Stereo Version
Stevie Wonder,For Once In My Life
Aretha Franklin,Respect - Remastered
The Temptations,My Girl
Marvin Gaye,Got To Give It Up (Part 1)
Jackie Wilson,(Your Love Keeps Lifting Me) Higher & Higher
Stevie Wonder,Sir Duke
Johnny Nash,I Can See Clearly Now - Edit
Ray Charles,I've Got A Woman
The Supremes,Come See About Me
The Isley Brothers,This Old Heart Of Mine (Is Weak For You) - Single Version (Mono)
James Brown,Get Up Offa That Thing
Aretha Franklin,Think
Four Tops,"I Can't Help Myself (Sugar Pie, Honey Bunch)"
Ray Charles,Hallelujah I Love Her So - Single/LP Version
The Foundations,Build Me Up Buttercup - Single Version
Sam & Dave,Soul Man - LP/Single Version
Sam & Dave,"Hold On, I'm Comin' - LP/Single Version"
Stevie Wonder,Uptight (Everything's Alright)
Stevie Wonder,Superstition
Sam Cooke,(What A) Wonderful World
Bill Withers,Lovely Day
Etta James,Something's Got A Hold On Me - Single Version
James Brown,Papa's Got A Brand New Bag
The Ronettes,Be My Baby
Hot Chocolate,You Sexy Thing
The Staple Singers,I'll Take You There
Bobby Day,Rockin' Robin
Clarence Carter,Snatching It Back
Sly & The Family Stone,Everyday People
Aretha Franklin,Son Of A Preacher Man
Smokey Robinson & The Miracles,I Second That Emotion
Al Green,Let's Stay Together
The Marvelettes,Please Mr. Postman - Stereo Version
The Contours,Do You Love Me
Dusty Springfield,Son Of A Preacher Man
The Shirelles,Mama Said
The Jackson 5,Who's Lovin' You
Percy Sledge,You Really Got A Hold On Me
The Chiffons,One Fine Day
Otis Redding,My Girl - Remastered Mono
Wilson Pickett,Land Of 1000 Dances
The Supremes,Stop! In The Name Of Love
Edwin Starr,War - Single Version
Martha Reeves & The Vandellas,Heatwave
Marlena Shaw,California Soul
Fontella Bass,Rescue Me
Sam Cooke,Bring It On Home to Me
Eddie Floyd,Knock On Wood
Commodores,Easy
The Jackson 5,ABC
Mary Wells,You Beat Me To The Punch
The Drifters,Under The Boardwalk - Single/LP Version
Sharon Jones & The Dap-Kings,I Just Dropped In To See What Condition My Condition Is In
The Velvelettes,Needle In A Haystack
Diplomats of Solid Sound;The Diplomettes,Soul Connection
Little Richard,Tutti Frutti
Jr. Walker & The All Stars,How Sweet It Is (To Be Loved By You)
Jr. Walker & The All Stars,Shotgun
The Spinners,The Rubberband Man
Rex Williams,You Are My Heart
James Brown,The Boss
Patty & The Emblems,"Mixed-Up, Shook-Up Girl"
Marvin Gaye;Kim Weston,It Takes Two
Funkadelic,Can You Get To That
The Temptations,The Way You Do The Things You Do
Chuck Berry,No Particular Place To Go - Single Version
Otis Redding,Shake - Remastered Stereo
The Isley Brothers,Twist And Shout
The O'Jays,Love Train
Betty Bibbs,Enough For Everybody
The Meters,Cissy Strut
Sam Cooke,Chain Gang
The Isley Brothers,"Shout, Pts. 1 & 2"
The Temptations,Get Ready
Martha Reeves & The Vandellas,Dancing In The Street - Single Version
Mary Wells,My Guy
The Five Stairsteps,O-o-h Child - Remastered
Sly & The Family Stone,Dance to the Music
Four Mints,Keep On Loving You
Four Tops,"Reach Out, I'll Be There"
Etta James,I Just Want To Make Love To You
The Crystals,Then He Kissed Me
