,Artist,Song,lyrics
0,The Head and the Heart,Shake,"Well the ink in my plan went dry long before your smile
And the pages have always been blink like the trees in the wild
But the wind, yes the wind keeps pushing you and me
Time in time, I know when it's time to leave

If the memories we make, will never been lost, no
And the look on your face, we both knew the cost
But the wind, yes the wind keeps howling

I put in the pictures, you put in the time
You put all those memories so deep inside my mind
Now the wind, yes the wind keeps pushing you and me
And time in time, I know when it's time to leave

And the memories we've made, will never be lost, no
And the look on your face, we both knew the cost
But the wind, yes the wind keeps howling

Even if it was a mistake, I can't forget your face
Even if it was just a day,
You won't forget the one who's making you shake

Kinda lost my way you see
Kinda lost my way you see
Kinda lost my way you see
Kinda lost my way you see
Even if it was a mistake, I can't forget your face
Even if it was just a day,
You won't forget the man who's making you shake
Who's making you shake, you shake
Ah, making you shake
You shake
Ah, making you shake"
1,Milo Greene,1957,"Your house that sits behind me 
Is covered in ivy green 
The windows that we watch from 
Are old and chipping at the beam 

It takes me away 
Takes me away 
Takes me away 

The scent you wear moves in lines 
From your apartment into mine 
You act like you don't know me 
My god, you tempt my anxious mind 

It takes me away 
Takes me away 
Takes me away 

Would it be much better if I knew nothing about you 
Would it be much better if I knew nothing about you 

I'll go, I'll go, I'll go I... 
I'll go, I'll go, I'll go I... 

It takes me away 
Takes me away 
Takes me away"
2,Birdtalker,Graveclothes,-1
3,Half Moon Run,Call Me In The Afternoon,"You can have it if you don't mind some or all the others stay with me
You confuse me with your riddles and your sudden generosity

Call me in the afternoon even by one by one

You can have it when you come by, you can have yourself a one-man way
I saw you when it caught your eye and it's such a petty price to pay

Call me in the afternoon even by one by one

Take one if you need it but you really shouldn't be out this late
Really wanna make you feel home
Take one if you need it but you really shouldn't get this fucked up
Really wanna get it to you

Slide another shot by and wipe your dirty hands on me
Swallow till you go blind and find a little company

Call me in the afternoon even by one by one

After all, when I listen, it could be you, could be anyone that I want"
4,Houndmouth,Sedona,"The red sandstone, it fell
Right smack on top of Sedona Arabella
When John Ford said, ""Won't you hop on in
To the stage coach baby gonna take you for a spin, oh oh.""

Hey little Hollywood
You're gone but you're not forgot
You got the cash but your credit's no good
You flipped the script and you shot the plot
And I remember, I remember when your neon used to burn so bright and pink
A Saturday night kinda pink

The blacklist and it's hosts
Came down so swift and it drove 'em to the coast
We're goin' California but we're all out of work
I guess that's better than a grave and a hearse oh oh

Hey little Hollywood
You're gone but you're not forgot
You got the cash but your credit's no good
You flipped the script and you shot the plot
And I remember I remember when your neon used to burn so bright and pink
A Saturday night kinda pink

The devil's in a rush
And his duct tape makes you hush
Hey there Sedona let me cut you a deal
I'm a little hung over and I may have to steal your soul, oh oh

Hey little Hollywood
You're gone but you're not forgot
You got the cash but your credit's no good
You flipped the script and you shot the plot
And I remember, I remember when your neon used to burn so bright and pink
So bright and pink
A Saturday night kinda pink"
5,Nick Mulvey,Mountain To Move,-1
6,Family and Friends,Amadeus,-1
7,Joseph,White Flag,-1
8,The Lumineers,Cleopatra,"I was Cleopatra, I was young and an actress
When you knelt by my mattress and asked for my hand
But I was sad you asked it, as I laid in a black dress
With my father in a casket, I had no plans

And I left the footprints, the mud stained on the carpet
And it hardened like my heart did when you left town
But I must admit it, that I would marry you in an instant
Damn your wife, I'd be your mistress just to have you around

But I was late for this, late for that
Late for the love of my life
And when I die alone, when I die alone
When I die I'll be on time

While the church discouraged any lust that burned within me
Yes my flesh, it was my currency, but I held true
So I drive a taxi and the traffic distracts me
From the strangers in my backseat, they remind me of you

But I was late for this, late for that
Late for the love of my life
And when I die alone, when I die alone
When I die I'll be on time

And the only gifts from my Lord
Were a birth and a divorce
But I've read this script and the costume fits
So I'll play my part

I was Cleopatra, I was taller than the rafters
But that's all in the past now, gone with the wind
Now a nurse in white shoes leads me back to my guestroom
It's a bed and a bathroom and a place for the end

I won't be late for this, late for that
Late for the love of my life
And when I die alone, when I die alone
When I die I'll be on time, ah"
9,Vance Joy,Lay It On Me,"I'm so gone
Anyone could see that I'm wasted
You cut through
And I just wanna know what's in your head

Write it on a piece of paper, honey
Put it in my coat before I go
Hidden in a place you know I'll find it
Later when I'm sitting all alone

Let me in
Everything starts at your skin, so new
Your love's always finding me out
Who am I kidding?
If all my defenses come down, oh baby
Will you lay it all on me now?
Lay it all on me now
Lay it all on me now
Lay it all on me now

Snow comes down, everything is new and different
I found you hidden in plain sight, why'd I take so long?

Write it on a piece of paper, honey
Put it in my coat before I go

Let me in
Everything starts at your skin, so new
Your love's always finding me out
Who am I kidding?
If all my defenses come down, oh baby
Will you lay it all on me now?
Lay it all on me now
Lay it all on me now
Lay it all on me now
Lay it all on me now

Your love's always finding me out
Who am I kidding?
If all my defenses come down, oh baby
Will you lay it all on me now?
Lay it all on me now
Lay it all on me now
Lay it all on me now
Lay it all on me now"
10,Freedom Fry,Awake,-1
