Artist,Song
Ok2222,Take Me for My Words
Different Sleep,Slow Things Down
A D M B;Sophie Meiers,Take It Back (feat. Sophie Meiers)
Brent Faiyaz,Gang Over Luv
Khalid,Saved
FKJ,Better Give U Up
Miquela,Not Mine
Snoh Aalegra;Logic,Sometimes
S. Fidelity;Tesla,Make It
[bsd.u],B5 [untitled] but i loved you
wuudlum,i dont luv u anymore
Ben Beal;Sophie Meiers,Off/On
Nohidea,love (left)
Allem Iversom,Without You
Khalid,Coaster
Chris McClenney,I Ain't
Ryan Egan,Tongue of Yours
Sinead Harnett;GRADES,If You Let Me
Sabrina Claudio,Stand Still
Xavier Omär,Runnin' Round
Eli Sostre,Let You Go
Sevdaliza,Hubris
6LACK,Ex Calling
potsu,im closing my eyes (feat. shiloh)
Fallen Roses;B dom,Lies We Told
Dream Koala,We Can't Be Friends
Paperboy Fabe;Brent Faiyaz,Language
Childish Major,Supply Luh
Mahalia,Sober
Sango;Xavier Omär,How Do You Love Me
Geoffroy,Sleeping on My Own
7AM,Swaying
Sonder,Feel
simon eng;duendita,another time (world$tar money)
Kupla,still breathing
Gangsigns,All or Nothing
Reva DeVito;Birthday Boy,DEEPER - prod. BIRTHDAY BOY
Vague003,Why Are You Making This Harder Than It Has to Be
Wet,Don't Wanna Be Your Girl
vbnd;Sophie Meiers;Tola,Best for You
Loyle Carner;Tom Misch,Damselfly
Abhi//Dijon,Ignore
Billy Davis,No Longer Lovers
Xavier Omär,If This Is Love
Many Faces,Stay
Kleerup;Lykke Li,Until We Bleed (feat. Lykke Li)
Bonobo;Rhye,Break Apart
Bassti;Samnelly,Keep Your Head up
Goldwash,Won't Cry
BadBadNotGood;Samuel T. Herring,Time Moves Slowly (feat. Samuel T. Herring)
Silk Rhodes,Pains
ESTA.;Bria Zhanae,Loner
Arbour,
Joe Bonamassa,Let The Good Times Roll - Live
Gary Clark Jr.,The Healing - Live
Sonny Landreth,Soul Salvation - Live
Tedeschi Trucks Band,Bird On The Wire - Live
Stevie Ray Vaughan;Double Trouble,Texas Flood - Live at Ripley's Music Hall Philadelphia PA Oct. 20 1983
Kenny Wayne Shepherd,True Lies
The Jeff Healey Band,Stop Breakin' Down - Live
Ina Forsman;Layla Zoe;Tasha Taylor,Weatherman
Philip Sayce,Steamroller / Powerful Thing - Live
Tedeschi Trucks Band,Keep On Growing - Live
The Sheepdogs,Feeling Good - Live
Dave Fields,Pocket Full of Dust (Live)
Jessy Martens and Band,Touch My Blues Away - Live
King King,Wait On Time - Live
Jonny Lang,Red Light - Live
Joe Bonamassa,Some Other Day Some Other Time - Live
B.B. King,Everyday I Have The Blues - Live (San Quentin)
Henrik Freischlader,A Better Man
Johnny Winter,Roll With Me - Live
Eric Clapton,River Of Tears - Live
Albert Cummings,Why Me - Live
Buddy Guy,Damn Right I've Got The Blues - Live
Son Seals,Crying For My Baby
Joe Bonamassa,Lonesome Whistle Blues - Live
Lonnie Mack,Camp Washington Chile/If You Have To Know
John Mayer Trio,Gravity - Live In Concert
Gary Clark Jr.,Things Are Changin' - Live
John Mayall & The Bluesbreakers;Eric Clapton;Chris Barber,Hideaway
Bernard Allison,Chills & Thrills
Tony Spinner,Freedom
Joe Bonamassa,Born Under A Bad Sign - Live
The Derek Trucks Band,Key To The Highway - Live
Mike Zito,Judgment Day
Popa Chubby,Stoop Down Baby - Live
Walter Trout and The Free Radicals,Let Me Know
Gov't Mule,Soulshine
Joe Bonamassa,Let The Good Times Roll - Live
Gary Clark Jr.,The Healing - Live
Sonny Landreth,Soul Salvation - Live
Tedeschi Trucks Band,Bird On The Wire - Live
Stevie Ray Vaughan;Double Trouble,Texas Flood - Live at Ripley's Music Hall Philadelphia PA Oct. 20 1983
Kenny Wayne Shepherd,True Lies
The Jeff Healey Band,Stop Breakin' Down - Live
Ina Forsman;Layla Zoe;Tasha Taylor,Weatherman
Philip Sayce,Steamroller / Powerful Thing - Live
Tedeschi Trucks Band,Keep On Growing - Live
The Sheepdogs,Feeling Good - Live
Dave Fields,Pocket Full of Dust (Live)
Jessy Martens and Band,Touch My Blues Away - Live
King King,Wait On Time - Live
Jonny Lang,Red Light - Live
Joe Bonamassa,Some Other Day Some Other Time - Live
B.B. King,Everyday I Have The Blues - Live (San Quentin)
Henrik Freischlader,A Better Man
Johnny Winter,Roll With Me - Live
Eric Clapton,River Of Tears - Live
Albert Cummings,Why Me - Live
Buddy Guy,Damn Right I've Got The Blues - Live
Son Seals,Crying For My Baby
Joe Bonamassa,Lonesome Whistle Blues - Live
Lonnie Mack,Camp Washington Chile/If You Have To Know
John Mayer Trio,Gravity - Live In Concert
Gary Clark Jr.,Things Are Changin' - Live
John Mayall & The Bluesbreakers;Eric Clapton;Chris Barber,Hideaway
Bernard Allison,Chills & Thrills
Tony Spinner,Freedom
Joe Bonamassa,Born Under A Bad Sign - Live
The Derek Trucks Band,Key To The Highway - Live
Mike Zito,Judgment Day
Popa Chubby,Stoop Down Baby - Live
Walter Trout and The Free Radicals,Let Me Know
Gov't Mule,Soulshine
