Artist,Song
Lord Huron,The Night We Met
Sam Smith,Too Good At Goodbyes
blackbear,Idfc
Ed Sheeran,Happier
Kygo;Sasha Sloan,This Town
Calum Scott,Dancing On My Own
Khalid,Shot Down
gnash;Olivia O'Brien,"i hate u, i love u (feat. olivia o'brien)"
Aquilo,Sorry
Camila Cabello,I Have Questions
Lorde,Liability
The 1975,Somebody Else
The Chainsmokers,Bloodstream
Niall Horan,Too Much To Ask
Lewis Capaldi,Bruises
Lauv,The Other
X Ambassadors,Unsteady
Post Malone,I Fall Apart
Troye Sivan,TALK ME DOWN
Post Malone,I Fall Apart
Dermot Kennedy,Moments Passed
Ruth B.,Lost Boy
ZAYN;Sia,Dusk Till Dawn - Radio Edit
P!nk,What About Us
Miley Cyrus,I Would Die For You
Tom Walker,Just You and I
Jarryd James,How Do We Make It
James Arthur,Say You Won't Let Go
Halsey;Cashmere Cat,Hopeless
Molly Kate Kestner,Footprints
Billie Eilish,ocean eyes
The Killers,Rut
Jessie Reyez,Figures
blackbear,hell is where i dreamt of u and woke up alone
Coldplay,Everglow
Coldplay,Warning Sign
SZA,20 Something
Niall Horan,This Town
The Japanese House,Sister
AWOLNATION,"I'm On Fire - From The ""Fifty Shades of Grey"" Soundtrack"
EDEN,start//end
The Weeknd,Attention
Jacob Banks,Unknown (To You)
Harry Styles,Two Ghosts
JP Cooper;Stormzy,Momma's Prayers
Francis and the Lights;Bon Iver,Friends (feat. Bon Iver)
Julia Michaels,Issues
Post Malone,White Iverson
ZAYN;Taylor Swift,I Dont Wanna Live Forever (Fifty Shades Darker)
